QID,PID,QueryCommand,QueryType,QueryValue,Filter1_operator,Filter1,Filter2_operator,Filter2,Filter3_operator,Filter3,Filter4_operator,Filter4,Filter5_operator,Filter5,CreateTime,UpdateTime
578,1932,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND [LayerName] = 'VarLayer'
AND pnl.[ProcNo] = '49'
AND TRIM(pcs.[ItemName]) = 'Stain(髒點)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,5Core-CF Lam,=,Stain(髒點),,,,,需篩選層別,,NULL,NULL
577,1931,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND [LayerName] = 'VarLayer'
AND pnl.[ProcNo] = '49'
AND TRIM(pcs.[ItemName]) = 'Bubble(氣泡)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,5Core-CF Lam,=,Bubble(氣泡),,,,,需篩選層別,,NULL,NULL
576,2053,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND [LayerName] = 'VarLayer'
AND pnl.[ProcNo] = '7'
AND TRIM(pcs.[ItemName]) = 'Oxidation discoloration(氧化異色)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,PTH,=,Oxidation discoloration(氧化異色),,,,,需篩選層別,,NULL,NULL
575,2052,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND [LayerName] = 'VarLayer'
AND pnl.[ProcNo] = '7'
AND TRIM(pcs.[ItemName]) = 'Via Hole Foot (孔底Foot)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,PTH,=,Via Hole Foot (孔底Foot),,,,,需篩選層別,,NULL,NULL
574,2051,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND [LayerName] = 'VarLayer'
AND pnl.[ProcNo] = '7'
AND TRIM(pcs.[ItemName]) = 'SMT/光學點 缺陷(SMT/Fiducial Mark abnormal)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,PTH,=,SMT/光學點 缺陷(SMT/Fiducial Mark abnormal),,,,,需篩選層別,,NULL,NULL
573,2048,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND [LayerName] = 'VarLayer'
AND pnl.[ProcNo] = '7'
AND TRIM(pcs.[ItemName]) = 'Black Via(黑孔)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,PTH,=,Black Via(黑孔),,,,,需篩選層別,,NULL,NULL
572,2047,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND [LayerName] = 'VarLayer'
AND pnl.[ProcNo] = '7'
AND TRIM(pcs.[ItemName]) = 'Via Hole discoloration(孔底變色)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,PTH,=,Via Hole discoloration(孔底變色),,,,,需篩選層別,,NULL,NULL
571,2046,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND [LayerName] = 'VarLayer'
AND pnl.[ProcNo] = '7'
AND TRIM(pcs.[ItemName]) = 'Oxidation discoloration(氣化異色)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,PTH,=,Oxidation discoloration(氣化異色),,,,,需篩選層別,,NULL,NULL
570,2045,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND [LayerName] = 'VarLayer'
AND pnl.[ProcNo] = '7'
AND TRIM(pcs.[ItemName]) = 'Contamination on panel(板面污染)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,PTH,=,Contamination on panel(板面污染),,,,,需篩選層別,,NULL,NULL
569,2042,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND [LayerName] = 'VarLayer'
AND pnl.[ProcNo] = '7'
AND TRIM(pcs.[ItemName]) = 'Scratch on panel(板面刮傷)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,PTH,=,Scratch on panel(板面刮傷),,,,,需篩選層別,,NULL,NULL
568,2079,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND pnl.[ProcNo] = '66'
AND TRIM(pcs.[ItemName]) = 'Scratch on Panel(板面刮傷)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,OLE,=,Scratch on Panel(板面刮傷),,,,,不需篩選層別,,NULL,NULL
567,2078,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND pnl.[ProcNo] = '66'
AND TRIM(pcs.[ItemName]) = 'Contamination on Panel(板面污染)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,OLE,=,Contamination on Panel(板面污染),,,,,不需篩選層別,,NULL,NULL
566,2075,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND pnl.[ProcNo] = '66'
AND TRIM(pcs.[ItemName]) = 'Water Mark(水紋)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,OLE,=,Water Mark(水紋),,,,,不需篩選層別,,NULL,NULL
565,2027,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND pnl.[ProcNo] = '71'
AND TRIM(pcs.[ItemName]) = 'SMK scratch(防焊刮傷)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,IT(出料檢),=,SMK scratch(防焊刮傷),,,,,不需篩選層別,,NULL,NULL
564,2028,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND pnl.[ProcNo] = '71'
AND TRIM(pcs.[ItemName]) = 'Foreign material on IMT(錫面異物)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,IT(出料檢),=,Foreign material on IMT(錫面異物),,,,,不需篩選層別,,NULL,NULL
563,2029,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND pnl.[ProcNo] = '71'
AND TRIM(pcs.[ItemName]) = 'IMT discoloration(Gray)(錫面異色(灰錫))'
        )
        ELSE ''
    END",IPQC,缺點數量,=,IT(出料檢),=,IMT discoloration(Gray)(錫面異色(灰錫)),,,,,不需篩選層別,,NULL,NULL
562,2030,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND pnl.[ProcNo] = '71'
AND TRIM(pcs.[ItemName]) = 'Tin Dent(錫面凹陷)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,IT(出料檢),=,Tin Dent(錫面凹陷),,,,,不需篩選層別,,NULL,NULL
561,2031,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND pnl.[ProcNo] = '71'
AND TRIM(pcs.[ItemName]) = 'Tin residue On pad(錫塊殘留)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,IT(出料檢),=,Tin residue On pad(錫塊殘留),,,,,不需篩選層別,,NULL,NULL
560,2032,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND pnl.[ProcNo] = '71'
AND TRIM(pcs.[ItemName]) = 'Tin on SM Scratch(綠漆破損沾錫)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,IT(出料檢),=,Tin on SM Scratch(綠漆破損沾錫),,,,,不需篩選層別,,NULL,NULL
559,2033,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND pnl.[ProcNo] = '71'
AND TRIM(pcs.[ItemName]) = 'Black Spot On Pad(錫面黑點)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,IT(出料檢),=,Black Spot On Pad(錫面黑點),,,,,不需篩選層別,,NULL,NULL
558,2034,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND pnl.[ProcNo] = '71'
AND TRIM(pcs.[ItemName]) = 'SM Scum(綠漆殘留)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,IT(出料檢),=,SM Scum(綠漆殘留),,,,,不需篩選層別,,NULL,NULL
557,2035,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND pnl.[ProcNo] = '71'
AND TRIM(pcs.[ItemName]) = 'Fake Cu Exposed(綠漆假性露銅)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,IT(出料檢),=,Fake Cu Exposed(綠漆假性露銅),,,,,不需篩選層別,,NULL,NULL
